,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
214,466560,"(27,717)","(2,927)","(1,551)","(1,913)","(6,907)",(333),"(6,525)",(81),(721),"(1,144)"
215,1693980,"(17,783)",(343),(673),(480),(786),(161),"(4,860)",(230),"(1,159)",(184)
216,1533390,"(33,730)",(205),(165),(84),(480),(66),(46),(39),(56),(347)
217,213670,"(32,467)","(1,777)","(3,548)","(3,169)","(6,528)",(363),"(2,495)",(15),(501),"(2,715)"
218,602960,"(26,508)",(475),"(1,074)",(996),"(9,965)",(137),"(6,982)",(84),(370),(863)
219,594570,"(71,078)","(5,041)","(3,543)","(1,037)","(5,476)","(1,042)","(17,540)",(75),"(3,439)","(2,352)"
220,1179080,"(2,783)",(28),(161),(88),(256),(22),(79),(20),(64),(26)
221,1336490,"(7,865)",(350),(139),(116),(689),(37),"(2,520)",(195),(805),(194)
222,1435790,"(7,319)",(382),(381),(272),(212),(25),"(1,694)",(29),(832),(90)
223,431240,"(46,563)","(1,239)","(1,370)",(717),"(1,287)",(216),(290),(110),(149),"(1,520)"
224,373420,"(11,970)",(886),(720),(815),"(3,716)",(276),"(4,061)",(81),(362),(460)
225,1145360,"(123,389)","(5,295)","(11,235)","(11,580)","(12,006)",(908),"(44,723)",(382),"(5,398)","(2,653)"
226,1385380,"(6,803)",(154),(118),(58),(80),(24),"(1,077)",(32),(70),(40)
227,1457320,(650),(38),(5),(10),(38),(0),(73),(31),(7),(10)
228,2239150,"(2,654)",(214),(107),(78),(135),(14),"(1,356)",(61),(62),(64)
229,1401590,"(10,552)",(699),(265),(128),(34),(62),(148),(66),(64),(76)
230,1574260,"(1,283)",(16),(26),(16),(19),(1),(13),(5),(16),(8)
231,42700,"(21,555)","(1,335)","(1,825)",(912),"(3,299)",(398),(427),(86),(326),"(1,255)"
232,392160,"(12,265)",(587),(195),(138),"(1,551)",(151),"(1,653)",(218),(179),(165)
233,1222680,"(40,672)","(1,223)","(4,527)","(4,851)","(5,136)",(415),"(15,962)",(212),"(1,153)","(5,109)"
234,527230,"(15,276)","(1,056)",(990),(930),"(1,755)",(292),"(10,642)",(110),"(1,756)",(206)
235,635260,"(34,368)","(1,356)","(2,430)","(2,290)","(11,166)",(379),(655),(133),(169),"(2,462)"
236,1687950,"(16,710)",(387),"(1,617)",(455),(325),(192),"(20,086)",(469),"(1,184)",(177)
237,2064650,"(3,851)",(294),(505),(822),"(1,680)",(40),(59),(174),(3),(115)
238,1044720,"(7,455)",(499),(421),(437),(966),(136),"(2,158)",(225),(339),(248)
239,2231380,"(4,696)",(157),(336),(511),(774),(38),(981),(51),(282),(108)
240,371970,"(4,447)",(48),(146),(132),(315),(20),(19),(18),(18),(30)
241,753640,"(33,191)","(2,249)","(2,637)","(2,430)","(2,250)",(321),"(7,445)",(427),(817),(204)
242,493520,"(29,553)",(975),"(1,264)",(683),"(2,373)",(229),"(9,780)",(252),"(2,096)",(308)
243,312660,"(17,113)","(1,002)","(1,632)","(2,682)","(4,563)",(279),"(14,422)",(130),(841),"(1,404)"
244,627690,"(8,563)",(266),(255),(494),(906),(68),(995),(22),(153),(197)
245,2273430,(519),(9),(19),(27),(11),(2),"(2,238)",(78),(19),(2)
246,367520,"(119,090)","(4,282)","(25,233)","(28,323)","(19,304)","(1,956)","(80,768)",(620),"(9,002)","(2,754)"
247,1488200,"(5,685)",(138),(125),(124),(92),(14),"(1,504)",(215),(396),(26)
